curve_id,x,y
fl-4.0-structure-114,8.0,53.0
fl-4.0-structure-114,9.0,54.0
fl-4.0-structure-114,10.0,55.0
fl-4.0-structure-114,11.0,56.0
fl-4.0-structure-114,12.0,57.0
fl-4.0-structure-114,13.0,58.0
fl-4.0-structure-114,14.0,59.0
fl-4.0-structure-114,15.0,60.0
fl-4.0-structure-114,16.0,61.0
fl-4.0-structure-114,17.0,62.0
fl-4.0-structure-114,18.0,63.0
fl-4.0-structure-114,19.0,64.0
fl-4.0-structure-114,20.0,65.0
fl-4.0-structure-114,21.0,66.0
fl-4.0-structure-114,22.0,67.0
fl-4.0-structure-114,23.0,68.0
fl-4.0-structure-114,24.0,69.0
fl-4.0-structure-115,-4.0,0.0
fl-4.0-structure-115,-3.0,0.0
fl-4.0-structure-115,-2.0,0.0
fl-4.0-structure-115,-1.0,0.0
fl-4.0-structure-115,0.0,5.0
fl-4.0-structure-115,1.0,9.0
fl-4.0-structure-115,2.0,13.0
fl-4.0-structure-115,3.0,18.0
fl-4.0-structure-115,4.0,20.0
fl-4.0-structure-115,5.0,22.0
fl-4.0-structure-115,6.0,24.0
fl-4.0-structure-115,7.0,26.0
fl-4.0-structure-115,8.0,30.0
fl-4.0-structure-115,9.0,34.0
fl-4.0-structure-115,10.0,38.0
fl-4.0-structure-115,11.0,40.0
fl-4.0-structure-115,12.0,42.0
fl-4.0-structure-115,13.0,44.0
fl-4.0-structure-115,14.0,46.0
fl-4.0-structure-115,15.0,48.0
fl-4.0-structure-115,16.0,50.0
fl-4.0-structure-115,17.0,52.0
fl-4.0-structure-115,18.0,54.0
fl-4.0-structure-115,19.0,56.0
fl-4.0-structure-115,20.0,58.0
fl-4.0-structure-115,21.0,60.0
fl-4.0-structure-115,22.0,62.0
fl-4.0-structure-115,23.0,64.0
fl-4.0-structure-115,24.0,66.0
fl-4.0-structure-116,-4.0,4.0
fl-4.0-structure-116,-3.0,4.0
fl-4.0-structure-116,-2.0,8.0
fl-4.0-structure-116,-1.0,14.0
fl-4.0-structure-116,0.0,17.0
fl-4.0-structure-116,1.0,24.0
fl-4.0-structure-116,2.0,26.0
fl-4.0-structure-116,3.0,29.0
fl-4.0-structure-116,4.0,34.0
fl-4.0-structure-116,5.0,39.0
fl-4.0-structure-116,6.0,44.0
fl-4.0-structure-116,7.0,50.0
fl-4.0-structure-116,8.0,55.0
fl-4.0-structure-116,9.0,57.0
fl-4.0-structure-116,10.0,59.0
fl-4.0-structure-116,11.0,61.0
fl-4.0-structure-116,12.0,63.0
fl-4.0-structure-116,13.0,65.0
fl-4.0-structure-116,14.0,67.0
fl-4.0-structure-116,15.0,69.0
fl-4.0-structure-116,16.0,71.0
fl-4.0-structure-116,17.0,73.0
fl-4.0-structure-116,18.0,75.0
fl-4.0-structure-116,19.0,77.0
fl-4.0-structure-116,20.0,79.0
fl-4.0-structure-116,21.0,81.0
fl-4.0-structure-116,22.0,83.0
fl-4.0-structure-116,23.0,85.0
fl-4.0-structure-116,24.0,87.0
fl-4.0-structure-117,-4.0,0.0
fl-4.0-structure-117,-3.0,0.0
fl-4.0-structure-117,-2.0,0.0
fl-4.0-structure-117,-1.0,0.0
fl-4.0-structure-117,0.0,4.0
fl-4.0-structure-117,1.0,8.0
fl-4.0-structure-117,2.0,12.0
fl-4.0-structure-117,3.0,17.0
fl-4.0-structure-117,4.0,19.0
fl-4.0-structure-117,5.0,22.0
fl-4.0-structure-117,6.0,24.0
fl-4.0-structure-117,7.0,25.0
fl-4.0-structure-117,8.0,30.0
fl-4.0-structure-117,9.0,35.0
fl-4.0-structure-117,10.0,38.0
fl-4.0-structure-117,11.0,40.0
fl-4.0-structure-117,12.0,42.0
fl-4.0-structure-117,13.0,44.0
fl-4.0-structure-117,14.0,46.0
fl-4.0-structure-117,15.0,48.0
fl-4.0-structure-117,16.0,50.0
