curve_id,key,value
fl-4.0-contents-524,comment,RAMPP Inserted
fl-4.0-contents-525,comment,RAMPP Inserted
fl-4.0-contents-526,comment,RAMPP Inserted
fl-4.0-contents-527,comment,RAMPP Inserted
fl-4.0-contents-528,comment,RAMPP Inserted
fl-4.0-contents-529,comment,RAMPP Inserted
fl-4.0-contents-530,comment,RAMPP Inserted
fl-4.0-contents-531,comment,RAMPP Inserted
fl-4.0-contents-532,comment,RAMPP Inserted
fl-4.0-contents-533,comment,RAMPP Inserted
fl-4.0-contents-535,comment,RAMPP Inserted
fl-6.1-contents-23,hazus_default_flag,1.0
fl-6.1-contents-24,hazus_default_flag,1.0
fl-6.1-contents-25,hazus_default_flag,1.0
fl-6.1-contents-26,hazus_default_flag,1.0
fl-6.1-contents-27,hazus_default_flag,1.0
fl-6.1-contents-28,hazus_default_flag,1.0
fl-6.1-contents-30,hazus_default_flag,1.0
fl-6.1-contents-32,hazus_default_flag,1.0
fl-6.1-contents-34,hazus_default_flag,1.0
fl-6.1-contents-36,hazus_default_flag,1.0
fl-6.1-contents-45,hazus_default_flag,1.0
fl-6.1-contents-74,hazus_default_flag,1.0
fl-6.1-contents-75,hazus_default_flag,1.0
fl-6.1-contents-81,hazus_default_flag,1.0
fl-6.1-contents-82,hazus_default_flag,1.0
fl-6.1-contents-85,hazus_default_flag,1.0
fl-6.1-contents-88,hazus_default_flag,1.0
fl-6.1-contents-88,comment,RES6 default
fl-6.1-contents-89,hazus_default_flag,1.0
fl-6.1-contents-90,hazus_default_flag,1.0
fl-6.1-contents-195,hazus_default_flag,1.0
fl-6.1-contents-240,hazus_default_flag,1.0
fl-6.1-contents-280,hazus_default_flag,1.0
fl-6.1-contents-304,hazus_default_flag,1.0
fl-6.1-contents-309,hazus_default_flag,1.0
fl-6.1-contents-312,hazus_default_flag,1.0
fl-6.1-contents-322,hazus_default_flag,1.0
fl-6.1-contents-352,hazus_default_flag,1.0
fl-6.1-contents-357,hazus_default_flag,1.0
